Source_IP,Source_PORT,Destination_IP,Destination_PORT,TYPE_Protokol,TotalLength,CSD_Payload_1Gram,CSD_Payload_2Gram,CSD_Payload_3Gram,CSD_Payload_4Gram,CSD_Payload_5Gram,CSD_Payload_6Gram,CS_Payload_1Gram,CS_Payload_2Gram,CS_Payload_3Gram,CS_Payload_4Gram,CS_Payload_5Gram,CS_Payload_6Gram,Target
3232257838,50928,167840013,7680,1,40,0.3267,4.5561,4.4069,0.5132,2.9181,10.5735,0.742823622,0.742823622,0.743401377,0.742823622,0.742823622,0.7428236,0
3232257838,50925,3232258764,7680,1,40,1,3.0862,27.4079,0.6265,1.9343,0.2479,0.786563782,0.786563782,0.742823612,0.786563782,0.786563782,0.7865638,0
3232257838,51100,167840062,7680,1,40,0.1072,0.5132,8.22,5.1925,4.0793,0.0553,0.776320115,0.776320115,0.953500991,0.776320115,0.776320115,0.7763201,0
3232257838,50928,167840013,7680,1,40,3.7008,1.7871,5.9403,1.8098,70.0987,1.1283,0.821539877,0.821539877,0.712282371,0.821539877,0.821539877,0.8215399,0
3232257838,51100,167840062,7680,1,40,1,7.5098,14.7544,1.6264,1,13.9379,0.902667245,0.902667245,0.968513648,0.902667245,0.902667245,0.9026672,1
3232257838,50931,167840005,7680,3,201,4.222,0.2101,1,0.1545,8.6994,7.3952,0.717833832,0.717833832,0.957193647,0.717833832,0.717833832,0.7178338,0
3232257838,50925,3232258764,7680,3,202,1,5.2552,0.9593,0.2007,1,1,0.986681699,0.986681699,0.816120852,0.986681699,0.986681699,0.9866817,1
3232257838,50925,3232258764,7680,3,202,3.4538,0.2152,0.1633,1.5748,0.6617,1,0.976433264,0.976433264,0.657819276,0.976433264,0.976433264,0.9764333,1
3232257838,50925,3232258764,7680,1,40,5.9328,0.0616,0.4571,0.29,2.9181,1,0.723365173,0.723365173,0.853163157,0.723365173,0.723365173,0.7233652,0
3232257838,50925,3232258764,7680,1,52,11.0276,0.2163,6.1513,0.107,1,0.8164,0.974792388,0.974792388,0.958629209,0.974792388,0.974792388,0.9747924,1
3232257838,50925,3232258764,7680,3,201,5.7927,5.2135,0.1106,0.2201,70.0987,4.6226,0.976433264,0.976433264,0.911137232,0.976433264,0.976433264,0.9764333,1
3232257838,50925,3232258764,7680,3,201,0.6817,3.0862,14.7544,5.208,0.7427,0.4488,0.993397575,0.993397575,0.910059652,0.993397575,0.993397575,0.9933976,1
3232257838,51100,167840062,7680,1,40,0.8316,0.5132,11.256,0.9456,2.9181,1,0.817257913,0.817257913,0.867317888,0.817257913,0.817257913,0.8172579,0
3232257838,50931,167840005,7680,1,40,0.0662,5.1886,5.861,0.0383,0.0286,0.4925,0.777964913,0.777964913,0.968513648,0.777964913,0.777964913,0.7779649,0
3232257838,51117,150963582,80,3,56,0.8402,5.1553,75.6203,1.6557,0.4019,2.3,0.991322424,0.991322424,0.997492702,0.991322424,0.991322424,0.9913224,1
3232257838,50930,167840007,7680,3,78,11.4084,1.8358,27.4079,0.0904,1.9343,2.435,1,1,0.677967782,1,1,1,1
3232257838,51102,3236292848,80,1,40,0.2595,5.157,5.5041,1.7038,2.9181,0.6369,1,1,0.994181992,1,1,1,1
3232257838,50929,167840012,7680,1,40,0.1005,0.1072,75.6203,9.3783,2.9181,2.3,1,1,0.786563781,1,1,1,1
3232257838,50925,3232258764,7680,1,40,0.8687,0.5132,5.9403,0.2152,0.0968,0.5843,0.743754362,0.743754362,1,0.743754362,0.743754362,0.7437544,0
3232257838,50928,167840013,7680,3,56,8.5124,5.0464,1.5133,1.807,1,2.3,0.991512894,0.991512894,0.902667122,0.991512894,0.991512894,0.9915129,1
3232257838,50930,167840007,7680,3,56,71.4548,7.5098,2.3047,0.0728,68.417,0.0843,0.888280066,0.888280066,0.977650208,0.888280066,0.888280066,0.8882801,1
3232257838,51100,167840062,7680,3,105,71.4548,1.706,1,0.592,1.9645,0.5769,0.695417256,0.695417256,0.920060032,0.695417256,0.695417256,0.6954173,0
3232257838,50928,167840013,7680,1,40,1,2.0366,1,1.6567,1,0.4037,0.743401378,0.743401378,0.742823612,0.743401378,0.743401378,0.7434014,0
3232257838,51116,150044798,80,1,40,71.7969,5.2801,5.2745,0.3432,0.7009,0.5769,0.821537837,0.821537837,0.868043318,0.821537837,0.821537837,0.8215378,0
3232257838,50931,167840005,7680,3,328,6.451,3.2776,0.1192,1.6656,2.9181,1,0.667805039,0.667805039,0.997692527,0.667805039,0.667805039,0.667805,0
3232257838,50930,167840007,7680,1,40,1,0.5132,4.41,28.873,0.133,7.0649,0.398526705,0.398526705,0.910059366,0.398526705,0.398526705,0.3985267,0
3232257838,50928,167840013,7680,3,202,23.1476,0.5132,14.7544,5.1826,0.2457,1,0.824336583,0.824336583,0.99924029,0.824336583,0.824336583,0.8243366,0
3232257838,50931,167840005,7680,1,40,3.6974,3.3982,12.8941,7.5098,0.133,2.4959,0.977650208,0.977650208,0.788342027,0.977650208,0.977650208,0.9776502,1
3232257838,50925,3232258764,7680,1,49,0.1248,0.2122,74.5734,5.1875,13.1905,0.2017,0.991995988,0.991995988,0.98401329,0.991995988,0.991995988,0.991996,1
3232257838,50921,3232240699,7680,1,40,3.7008,3.2853,15.1953,1.595,1,1,0.992885249,0.992885249,0.777964911,0.992885249,0.992885249,0.9928852,1
3232257838,137,3232260095,137,1,40,3.7008,0.592,27.4079,0.0678,2.9181,0.0553,0.81061613,0.81061613,0.742823612,0.81061613,0.81061613,0.8106161,0
3232257838,137,3232260095,137,2,40,1.1317,0.5132,30.7851,0.0946,0.5949,0.9286,0.968513655,0.968513655,0.98401329,0.968513655,0.968513655,0.9685137,1
3232257838,50929,167840012,7680,1,40,1,0.3465,14.7544,5.1897,4.52,1,0.814960305,0.814960305,0.322876887,0.814960305,0.814960305,0.8149603,0
3232257838,137,3232260095,137,1,40,0.5721,0.5132,11.3333,3.3982,0.731,0.9286,0.721815174,0.721815174,0.977327919,0.721815174,0.721815174,0.7218152,0
3232257838,137,3232260095,137,1,40,3.7008,0.5132,2.6199,0.1335,1,10.1754,0.742823609,0.742823609,0.736740897,0.742823609,0.742823609,0.7428236,0
3232257838,51100,167840062,7680,1,40,1,0.5132,74.5697,1.7026,13.1905,1,0.742823617,0.742823617,0.867733374,0.742823617,0.742823617,0.7428236,0
2852026205,5353,3758096635,5353,3,78,71.4548,0.0819,0.9494,0.1085,6.6963,6.7075,0.786567392,0.786567392,0.958629208,0.786567392,0.786567392,0.7865674,0
2886808529,5353,3758096635,5353,3,56,14.7319,0.5132,5.861,0.173,1,13.9379,0.88828003,0.88828003,0.675642369,0.88828003,0.88828003,0.88828,1
3232257838,50928,167840013,7680,1,40,71.4548,7.5098,30.7851,1.8425,4.6833,0.7674,0.896496533,0.896496533,0.867729223,0.896496533,0.896496533,0.8964965,1
2852026205,5353,3758096635,5353,3,78,3.7008,1.6635,5.4545,1.6557,9.0656,0.5769,0.997182898,0.997182898,1,0.997182898,0.997182898,0.9971829,1
2886808529,5353,3758096635,5353,1,40,2.6607,0.2166,5.5041,0.5132,69.4236,0.8164,0.976332999,0.976332999,0.744336284,0.976332999,0.976332999,0.976333,1
3232257838,50929,167840012,7680,1,40,1,1.7019,1,3.2456,1,1,0.990721555,0.990721555,0.999237897,0.990721555,0.990721555,0.9907216,1
2852026205,137,2852061183,137,1,40,4.2478,0.5132,5.861,5.2089,2.611,0.5843,0.99937782,0.99937782,0.769937035,0.99937782,0.99937782,0.9993778,1
2852026205,137,2852061183,137,3,105,0.2075,0.1038,12.0435,0.5132,0.6648,0.2857,0.99073582,0.99073582,0.991993342,0.99073582,0.99073582,0.9907358,1
3232257838,51100,167840062,7680,3,201,0.2876,0.5132,4.5628,0.2382,4.0793,0.5893,0.732855069,0.732855069,0.997544903,0.732855069,0.732855069,0.7328551,0
2852026205,137,2852061183,137,1,40,11.0276,1.7066,15.1953,0.9333,1,0.1008,0.99924029,0.99924029,0.896877209,0.99924029,0.99924029,0.9992403,1
2852026205,137,2852061183,137,1,40,4.1522,3.2456,2.276,5.162,1,1,0.953500991,0.953500991,1,0.953500991,0.953500991,0.953501,1
3232257838,50931,167840005,7680,1,40,6.451,0.2336,0.0763,1.7836,13.5279,1,0.897058767,0.897058767,0.17370286,0.897058767,0.897058767,0.8970588,1
2886808529,137,2886808543,137,1,40,0.3267,0.3509,30.7851,1.7454,13.1905,9.4741,0.893931606,0.893931606,0.742823611,0.893931606,0.893931606,0.8939316,1
2886808529,137,2886808543,137,1,40,3.8274,0.2144,0.5071,2.6329,69.4236,13.9379,0.716181591,0.716181591,0.863183747,0.716181591,0.716181591,0.7161816,0
3232257838,51100,167840062,7680,1,40,0.2635,0.1854,1,0.5132,1,0.4566,0.40841492,0.40841492,0.719303089,0.40841492,0.40841492,0.4084149,0
